group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
app-group,run_plag nocli + html + no-open-html,,,,597724235.0,ns,3
app-group,run_plag nocli + html + no-open-html,,,,1301859286.0,ns,6
app-group,run_plag nocli + html + no-open-html,,,,1715544158.0,ns,9
app-group,run_plag nocli + html + no-open-html,,,,2261993748.0,ns,12
app-group,run_plag nocli + html + no-open-html,,,,2766274786.0,ns,15
app-group,run_plag nocli + html + no-open-html,,,,4028591808.0,ns,18
app-group,run_plag nocli + html + no-open-html,,,,4372467256.0,ns,21
app-group,run_plag nocli + html + no-open-html,,,,4967047668.0,ns,24
app-group,run_plag nocli + html + no-open-html,,,,5688342219.0,ns,27
app-group,run_plag nocli + html + no-open-html,,,,6806083020.0,ns,30
app-group,run_plag nocli + html + no-open-html,,,,6545383330.0,ns,33
app-group,run_plag nocli + html + no-open-html,,,,6914525905.0,ns,36
app-group,run_plag nocli + html + no-open-html,,,,7331861713.0,ns,39
app-group,run_plag nocli + html + no-open-html,,,,7914862617.0,ns,42
app-group,run_plag nocli + html + no-open-html,,,,8156300005.0,ns,45
app-group,run_plag nocli + html + no-open-html,,,,8913908663.0,ns,48
app-group,run_plag nocli + html + no-open-html,,,,9494115061.0,ns,51
app-group,run_plag nocli + html + no-open-html,,,,10465667684.0,ns,54
app-group,run_plag nocli + html + no-open-html,,,,11635632616.0,ns,57
app-group,run_plag nocli + html + no-open-html,,,,11344591286.0,ns,60
